,unprocessed_tweet,product,emotion,processed_tweet
563,ÛÏ@mention Google doesn't place any value on your domain extension. They are all equal. #SXSW #qagbÛ,,No emotion toward brand or product,mention google place value domain extension equal sxsw qagb
564,Attending Google keynote. Seeing Google maps for mobile features.  #SXSW,,No emotion toward brand or product,attending google keynote seeing google map mobile feature sxsw
565,&quot;The Google name was built on getting things out there and trying them out.&quot; -Marissa Mayer #sxsw frm @mention,,No emotion toward brand or product,quotthe google name built getting thing trying outquot marissa mayer sxsw frm mention
566,ÛÏ@mention Google now lets you block sites you can't stand {link} How about #sxsw blocking that looks like what I need,Google,Positive emotion,mention google let block site cant stand link sxsw blocking look like need
567,Length of Google penalty based on severity of breach of webmaster guidelines. i.e.white text on white bgr might get 30 day pen. #sxsw #qagb,,Negative emotion,length google penalty based severity breach webmaster guideline iewhite text white bgr might get 30 day pen sxsw qagb
568,ÛÏ@mention Google set to launch new social network #Circles today at #sxswÛ @mention  @mention,,No emotion toward brand or product,mention google set launch new social network circle today sxsw mention mention
569,I need to google that lonelyboy15 @mention talks about all the time ;) #sxsw #enchantment,,No emotion toward brand or product,need google lonelyboy15 mention talk time sxsw enchantment
570,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today (Updated) - did it happen #sxsw {link}",,No emotion toward brand or product,mention google launch major new social network called circle possibly today updated happen sxsw link
571,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #SXSW",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw
572,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 

Something to keep watch",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw something keep watch
573,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ 
It'll never beat myspace.",Other Google product or service,Negative emotion,mention google launch major new social network called circle possibly today link sxsw itll never beat myspace
574,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw mention
575,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ @mention  bigger than gaga",Other Google product or service,Positive emotion,mention google launch major new social network called circle possibly today link sxsw mention bigger gaga
576,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ #fb",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw fb
577,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ #HNWSXSW",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw hnwsxsw
578,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ %GOOG",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw goog
579,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ Dejavu all over again.",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw dejavu
580,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ sta, nije im dosta GBuzz-a?",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw sta nije im dosta gbuzza
581,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ te dije wey @mention",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link sxsw te dije wey mention
582,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxswÛ. Super interesting...",Google,Positive emotion,mention google launch major new social network called circle possibly today link sxsw super interesting
583,"ÛÏ@mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} rt @mention #sxswÛ",,No emotion toward brand or product,mention google launch major new social network called circle possibly today link rt mention sxsw
584,"ÛÏ@mention Google to launch major new social network called Circles, possibly today at SXSW: {link} #sxsw #nfusionÛ #hmm",,No emotion toward brand or product,mention google launch major new social network called circle possibly today sxsw link sxsw nfusion hmm
585,"ÛÏ@mention Google to Launch New Social Network Called Circles, Today? {link} #sxswÛ Applause for a new privacy model attempt",,Positive emotion,mention google launch new social network called circle today link sxsw applause new privacy model attempt
586,#technews Google to launch new social network at SXSW? {link} #Tech_News #ACLU #SXSW #tech,,No emotion toward brand or product,technews google launch new social network sxsw link technews aclu sxsw tech
587,BREAKING: Google to Launch Major New Social Network Called Circles...Today? {link} via @mention #sxsw #socialmedia,,No emotion toward brand or product,breaking google launch major new social network called circlestoday link via mention sxsw socialmedia
588,"Diller on Google TV: &quot;The first product wasn't good. It wasn't a consumer product, basically.&quot; #sxsw #diller",Other Google product or service,No emotion toward brand or product,diller google tv quotthe first product good consumer product basicallyquot sxsw diller
589,.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW  | RT @mention,Google,Positive emotion,mention google connect digital amp physical world mobile link sxsw rt mention
590,.@mention Google Will Connect the Digital &amp; Physical Worlds Through Mobile - {link} #SXSW RT @mention,,No emotion toward brand or product,mention google connect digital amp physical world mobile link sxsw rt mention
591,"#SXSW Why Google, Apple, EA Games, Zynga, Facebook, Microsoft and Intuit went gaga for The Go Game: {link}",,No emotion toward brand or product,sxsw google apple ea game zynga facebook microsoft intuit went gaga go game link
592,Future of Google: Contextual discovery. Location + context helps us go deeper than ever. Searches without search @mention #sxsw,Google,Positive emotion,future google contextual discovery location context help u go deeper ever search without search mention sxsw
593,ÛÏ@mention Google's Cutts says reputation and topicality are the 2 keys that matter in site rankings. #qagb #sxswÛ = saying trust &amp; LDA,,No emotion toward brand or product,mention google cutts say reputation topicality 2 key matter site ranking qagb sxsw saying trust amp lda
594,What will Google's Marissa Mayer talk about at 3.30? Worth going? #sxsw,,No emotion toward brand or product,google marissa mayer talk 330 worth going sxsw
595,Ironic? I googled the directions to @mention party and ended up walked 6 blocks in the wrong direction. Time for bed I think. #SXSW,,No emotion toward brand or product,ironic googled direction mention party ended walked 6 block wrong direction time bed think sxsw
596,"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV",iPad or iPhone App,Positive emotion,check googletv ipad apps connected tv experience sxsw link sxsw connectedtv
597,"Check out GoogleTV to iPad Apps: The Connected TV Experience at SXSW.
{link} #SXSW #ConnectedTV Fascinating!",iPad or iPhone App,Positive emotion,check googletv ipad apps connected tv experience sxsw link sxsw connectedtv fascinating
598,CNNMoney: Got a craving? #SXSW minds created an app for that - Foodspotting {link} #iPhone #apps,,Positive emotion,cnnmoney got craving sxsw mind created app foodspotting link iphone apps
599,Microsoft got me so drunk I changed my iPhone default search to yahoo. #SXSW,,No emotion toward brand or product,microsoft got drunk changed iphone default search yahoo sxsw
600,/@mention Grab the latest @mention before #SXSW! {link} #saytextson!,,No emotion toward brand or product,mention grab latest mention sxsw link saytextson
601,msc_page: Guy gets tattoo at SXSW so he could win a free iPad2 {link} #sxsw #tattoo #ipadÛ_ {link} #allshare,iPad,No emotion toward brand or product,mscpage guy get tattoo sxsw could win free ipad2 link sxsw tattoo ipad link allshare
602,Bring it  guys! About to start  in Austin with @mention and @mention at #touchingstories ##SXSW  &quot;Designing Digital Magazines for the iPad&quot;,,No emotion toward brand or product,bring guy start austin mention mention touchingstories sxsw quotdesigning digital magazine ipadquot
603,Less than half an hour and we'll tell you how to win an iPad 2!  RT this now! #SXSW #SXSWi,,No emotion toward brand or product,le half hour well tell win ipad 2 rt sxsw sxswi
604,"iPad 2 in hand, awesome dude gave me cutsies on a 3 hour line. #austin #apple #sxsw #winning",iPad,Positive emotion,ipad 2 hand awesome dude gave cutsies 3 hour line austin apple sxsw winning
605,IPad 2 in hand.  #SXSW # thisisdare,,No emotion toward brand or product,ipad 2 hand sxsw thisisdare
606,"I'm gonna hang my iPad and our hacked NOOK around my neck this week so I can become the Flava Flav of #sxsw! Top that, hipsters! #gsdm",,No emotion toward brand or product,im gon na hang ipad hacked nook around neck week become flava flav sxsw top hipster gsdm
607,.@mention has an something called Google Places with HotPot that works as a recommendation engine. #SxSW,,No emotion toward brand or product,mention something called google place hotpot work recommendation engine sxsw
608,This Post Has Nothing to do with #SXSW {link},,No emotion toward brand or product,post nothing sxsw link
609,"#smtravel hasn't heard - Google plans to launch a socnet in May - &quot;Circles&quot;. They have learned a lot in 5 years, lots has changed. via #sxsw",Google,Positive emotion,smtravel heard google plan launch socnet may quotcirclesquot learned lot 5 year lot changed via sxsw
610,What if I have BB? Discriminatory! ;P RT @mention @mention We're officially at #SXSW! Come by the FC Grill...&amp; make ur own iPhone case!,,No emotion toward brand or product,bb discriminatory p rt mention mention officially sxsw come fc grillamp make ur iphone case
611,"I may not have invites to all the &quot;cool&quot; #sxsw #sxswi parties, but I do have two iPhone chargers in my pocket, so you'll be happy to see me!",,Positive emotion,may invite quotcoolquot sxsw sxswi party two iphone charger pocket happy see
612,Who would have thunk it? RT @mention Agencies push Google in directions they never would have gone otherwise says @mention #SXSW,,No emotion toward brand or product,would thunk rt mention agency push google direction never would gone otherwise say mention sxsw
613,ÛÏ@mention Have yet to see someone with a PC (Dell or otherwise) @mention SXSW - all Apple MacBook Pro or iPads...#sxswÛ I'll b there soon!,,No emotion toward brand or product,mention yet see someone pc dell otherwise mention sxsw apple macbook pro ipadssxsw ill b soon
614,I've been having meetings while I'm in line at the #SXSW PopUp Apple Store for the iPad2. I love this place!,iPad,Positive emotion,ive meeting im line sxsw popup apple store ipad2 love place
615,#Apple to Hawk iPad 2 at #SXSW Festival Popup Store!  {link}  by @mention,iPad or iPhone App,Positive emotion,apple hawk ipad 2 sxsw festival popup store link mention
616,I want to hear @mention tell a Google Love Story! #connectedbrands #SXSW #SXSWiC,,No emotion toward brand or product,want hear mention tell google love story connectedbrands sxsw sxswic
617,Pumped to hear @mention dudes talk about logos over the years. Can I make one? #sxsw #Gsdm,,No emotion toward brand or product,pumped hear mention dude talk logo year make one sxsw gsdm
618,Thanks to Heathcare Digital @mention for publishing the news about our new Medical Apps showcased at #SXSW {link} #sxswh,,No emotion toward brand or product,thanks heathcare digital mention publishing news new medical apps showcased sxsw link sxswh
619,"@mention  hello! Enjoy #Sxsw and ride anywhere in Austin for $10 . download the #GroundLink app, {link} booth 437",,Positive emotion,mention hello enjoy sxsw ride anywhere austin 10 download groundlink app link booth 437
620,"Oh Lordy, here we go... RT @mention What time does the #apple store at #sxsw open? Pulling the #ipad2 trigger.",iPad,Positive emotion,oh lordy go rt mention time apple store sxsw open pulling ipad2 trigger
621,"ÛÏ@mention Hey Austin, know a little about #iPhone or #Android, love music &amp; wanna make $20/hour during #SXSW?  Please let me know.Û",,No emotion toward brand or product,mention hey austin know little iphone android love music amp wan na make 20hour sxsw please let know
622,Loved the honesty in Google's Marissa Mayer keynote: we have too many products and need to step up customer service for locations #sxsw,Google,Positive emotion,loved honesty google marissa mayer keynote many product need step customer service location sxsw
623,Google to Host Developer Day at SXSW {link} #sxsw @mention,,No emotion toward brand or product,google host developer day sxsw link sxsw mention
624,T-minus 6 hours: social media mavens start performing degrading sex acts for an iPhone charge. #SXSW,,No emotion toward brand or product,tminus 6 hour social medium maven start performing degrading sex act iphone charge sxsw
625,Hey #SXSW how bout donating all this $ your spending on the new #iPad to Japan. Do you REALLY need that thing?,iPad,Negative emotion,hey sxsw bout donating spending new ipad japan really need thing
626,"Wondering how much revenue the Austin @mention store grossed on account of the ipad2, amid #sxsw ...what a strategic release...",,Positive emotion,wondering much revenue austin mention store grossed account ipad2 amid sxsw strategic release
627,#technews How To ÛÏWinÛ SXSW: Hint ÛÒ ItÛªs The Same Answer Every Year {link} #Tech_News #Bill_Murray #How_To #iPhone #SXSW #tech,,No emotion toward brand or product,technews win sxsw hint answer every year link technews billmurray howto iphone sxsw tech
628,"Apple and HP popups at #SXSW. Gee, I wonder which will get more traffic. -  {link}",,No emotion toward brand or product,apple hp popups sxsw gee wonder get traffic link
629,Scavenger Hunt game for businesses released as app for the iPhone at #SXSW {link},,No emotion toward brand or product,scavenger hunt game business released app iphone sxsw link
630,Wonder if I can fit an iPad 2 in my luggage as I'm packing for Austin? Hmmm. #sxsw,,No emotion toward brand or product,wonder fit ipad 2 luggage im packing austin hmmm sxsw
631,"Holy moly I can't believe the line out here #sxsw @mention Apple Store, SXSW {link}",,No emotion toward brand or product,holy moly cant believe line sxsw mention apple store sxsw link
632,"Only time I ever torrent (also this is legal). Also, also, so excited #sxsw  {link}",,No emotion toward brand or product,time ever torrent also legal also also excited sxsw link
633,How could I forget my cell phone today for #SXSW what a fail glad I have my iPad #lifelinetotheworld,iPad,Positive emotion,could forget cell phone today sxsw fail glad ipad lifelinetotheworld
634,".@mention I have a 3G iPhone. After 3 hrs tweeting at #RISE_Austin, it was dead!  I need to upgrade. Plugin stations at #SXSW.",iPhone,Negative emotion,mention 3g iphone 3 hr tweeting riseaustin dead need upgrade plugin station sxsw
635,.@mention I have a feeling #SXSW will be the worst place to try &amp; get an iPad 2- everyone there will be trying to get one. #techiesunite,iPad,Negative emotion,mention feeling sxsw worst place try amp get ipad 2 everyone trying get one techiesunite
636,"Love that I have a MacBook, iPad, and iPhone with me at #sxsw this year. One runs out of juice, and I can jump to the next.",iPhone,Positive emotion,love macbook ipad iphone sxsw year one run juice jump next
637,Holy cow! I just got hooked by Paolo and Alex with a backup charger for my iPhone! facebook.com/powermat #powermatteam #sxsw #thanks,iPhone,Positive emotion,holy cow got hooked paolo alex backup charger iphone facebookcompowermat powermatteam sxsw thanks
638,Holy cow! I just got hooked by Paolo and Alex with a backup charger for my iPhone! facebook.com/powermat #powermattteam #sxsw #thanks,iPhone,Positive emotion,holy cow got hooked paolo alex backup charger iphone facebookcompowermat powermattteam sxsw thanks
639,Catch 22Û_ I mean iPad 2 at #SXSW - {link} #apple #ipad2,,Positive emotion,catch 22 mean ipad 2 sxsw link apple ipad2
640,Catch 22Û_ I mean iPad 2 at #SXSW : {link},,I can't tell,catch 22 mean ipad 2 sxsw link
641,I knew if I plied @mention with beer and stogies last night I'd weasel my way into the Team Android party tonight. #success #SXSW.,Android,Positive emotion,knew plied mention beer stogy last night id weasel way team android party tonight success sxsw
642,"Honestly, I think everyone at #sxsw owns an @mention laptop! #truestory",,No emotion toward brand or product,honestly think everyone sxsw owns mention laptop truestory
643,"Ok nerds, I totally am Bateman. You want me to sign your iPad 2? #sxsw",,No emotion toward brand or product,ok nerd totally bateman want sign ipad 2 sxsw
644,Last year I traveled too heavy...this year too light. I'll get it right next year. Left my iPad at home. #sxsw,,No emotion toward brand or product,last year traveled heavythis year light ill get right next year left ipad home sxsw
645,"I thought I would use my iPad a lot during #SXSW, but I haven't even touched it once.  Hmmzies.",iPad,Negative emotion,thought would use ipad lot sxsw even touched hmmzies
646,ÛÏ@mention I'll be at the Austin Convention Center today w/ my @mention fam... showing my new iPhone game. #SXSWÛ,,Positive emotion,mention ill austin convention center today w mention fam showing new iphone game sxsw
647,"Cool one, I'll be there. RT @mention #SXSW Friday at 5pm Doodle Google session.  {link}",,No emotion toward brand or product,cool one ill rt mention sxsw friday 5pm doodle google session link
648,@mention  I'm beyond frustrated w/ @mention after this Samsung Moment runaround &amp; am leaving for ATT &amp; iPhone so I can enjoy #sxsw.,iPhone,Positive emotion,mention im beyond frustrated w mention samsung moment runaround amp leaving att amp iphone enjoy sxsw
649,ev'ry day i'm hustlin'! working the @mention #sxsw event for @mention tonight- i've absolutely loved working... {link},,No emotion toward brand or product,evry day im hustlin working mention sxsw event mention tonight ive absolutely loved working link
650,Brilliant idea to have @mention and @mention search engine ranking session in small room. Only 75 people locked out. #sxsw,,No emotion toward brand or product,brilliant idea mention mention search engine ranking session small room 75 people locked sxsw
651,I have no idea why this startupbus thing is so addictive: {link} #sxsw Also just added Android app.,Android App,Positive emotion,idea startupbus thing addictive link sxsw also added android app
652,Practical ideas on android development - Bit.ly/androidhig - #sxsw,,No emotion toward brand or product,practical idea android development bitlyandroidhig sxsw
653,Wondering if anyone at #SXSW will sell me a Verizon iPhone? Bueller?,,No emotion toward brand or product,wondering anyone sxsw sell verizon iphone bueller
654,"ÛÏ@mention If I show up at #sxsw with my 1st gen iPad, will they still let me in the door?Û ( Too funny Tim!! )",,No emotion toward brand or product,mention show sxsw 1st gen ipad still let door funny tim
655,"Hot-spot! If only @mention data speed could keep up RT @mention Also, thanks to Apple for releasing iOS 4.3 just in time for #SXSW",Apple,Positive emotion,hotspot mention data speed could keep rt mention also thanks apple releasing io 43 time sxsw
656,wondering if ppl in #sxsw on friday will queue at the convention centre or the apple store! xD i'm still figuring out wot i'll do!,Apple,Positive emotion,wondering ppl sxsw friday queue convention centre apple store xd im still figuring wot ill
657,Wondering if the #sxsw crowd made lines at Apple stores elsewhere in the U.S. any shorter today...,,No emotion toward brand or product,wondering sxsw crowd made line apple store elsewhere u shorter today
658,"@mention  if there is another interview disaster like last year's Evan Woods one, you'll see alot of iPhone staring! #sxsw",,No emotion toward brand or product,mention another interview disaster like last year evan wood one see alot iphone staring sxsw
659,"ÛÏ@mention If you were able to afford to attend #sxsw or buy an iPad today, consider saving a few $$$ for Japan earthquake relief. &quot;",,No emotion toward brand or product,mention able afford attend sxsw buy ipad today consider saving japan earthquake relief quot
660,.@mention imagines a future where Google asks you &quot;Why do you want to know that?&quot; when you search. #sxsw #smscifi,,No emotion toward brand or product,mention imago future google asks quotwhy want know thatquot search sxsw smscifi
661,"No launch imminent apparently, so Google Circles probably won't dÌ©but at #SXSW this evening.",,No emotion toward brand or product,launch imminent apparently google circle probably dbut sxsw evening
662,This Week in #iPad clip: @mention joins @mention to review the free #SXSW Go #App! {link} #iPad2 #SXSWGo,,Positive emotion,week ipad clip mention join mention review free sxsw go app link ipad2 sxswgo
663,"If you're in a room full of people w/good Wi-Fi at #SXSW run #FrostWire on your Android {link} Share pics, apps, vids w/others",Android App,Positive emotion,room full people wgood wifi sxsw run frostwire android link share pic apps vids wothers
664,"If you're in a room full of people w/good Wi-Fi at #SXSW run #FrostWire on your Android {link} share pics, apps, vids w/others",Android App,Positive emotion,room full people wgood wifi sxsw run frostwire android link share pic apps vids wothers
665,"Hot spots in Austin on Gowalla right now: convention cnt, the Ignite party n the Apple store. #sxsw #sxswi",Apple,Positive emotion,hot spot austin gowalla right convention cnt ignite party n apple store sxsw sxswi
666,I will be in Austin this weekend @mention #SXSW supporting Smarty Ears' launch of new iPad apps for Speech Therapy {link} #sxswh #sxsh,,Positive emotion,austin weekend mention sxsw supporting smarty ear launch new ipad apps speech therapy link sxswh sxsh
667,"If you're in Austin today, please join @mention @mention and myself talking iPad 2 and #SxSW  here: {link} :)",,No emotion toward brand or product,austin today please join mention mention talking ipad 2 sxsw link
668,#sxsw guy in front of me at this panel has an ipad in an etch-a-sketch case...device of wondeR? #iusxsw,iPad,No emotion toward brand or product,sxsw guy front panel ipad etchasketch casedevice wonder iusxsw
669,"For those in need of sweet Mac goodness at #SXSW, Apple has set up a temporary store downtown: {link}",Apple,Positive emotion,need sweet mac goodness sxsw apple set temporary store downtown link
670,Currently in route to a Truther Movement music festival at Spiderhouse. Google that. #SXSW,,No emotion toward brand or product,currently route truther movement music festival spiderhouse google sxsw
671,This just in: @mention to release new #socialmedia tool at #sxsw - {link},,No emotion toward brand or product,mention release new socialmedia tool sxsw link
672,NFC to be included on iPhone 5? Maybe.... #sxsw,,No emotion toward brand or product,nfc included iphone 5 maybe sxsw
673,The apple influence on ditto: one button login choice with facebook. #sxsw #UnderstandingHumans,,No emotion toward brand or product,apple influence ditto one button login choice facebook sxsw understandinghumans
674,"WABI-SABI inspiration lab is looking for a spanish-speaking trend scout based in Austin, Texas. #sxsw {link}",,No emotion toward brand or product,wabisabi inspiration lab looking spanishspeaking trend scout based austin texas sxsw link
675,"Zite, the Intelligent iPad Magazine: {link} &lt;  Deliciousness. #sxsw #trending #youneedthis",iPad,Positive emotion,zite intelligent ipad magazine link lt deliciousness sxsw trending youneedthis
676,"google is interested in location based tech for indoor venues - businesses, convention centers etc.  Tech needs to improve first.  #sxsw",Google,Negative emotion,google interested location based tech indoor venue business convention center etc tech need improve first sxsw
677,Hmm. Very interesting. RT @mention Wonder if @mention is putting tips from the @mention API...  #SxSW #SUxSW,,No emotion toward brand or product,hmm interesting rt mention wonder mention putting tip mention api sxsw suxsw
678,#TheKills interview now on @mention at #sxsw may be one of the most painfully vacuous interviews in history. {link},,No emotion toward brand or product,thekills interview mention sxsw may one painfully vacuous interview history link
679,Can't get into my first panel today. Line looks like the Apple Store. #SXSW {link},,No emotion toward brand or product,cant get first panel today line look like apple store sxsw link
680,Tim Soo's invisible instruments are jaw dropping. iPhone+Wii controller. {link} #lovemusicapi #sxsw,iPhone,Positive emotion,tim soos invisible instrument jaw dropping iphonewii controller link lovemusicapi sxsw
681,Rockin an iPad 2 from the downtown Apple #SXSW store. #apple,iPad,Positive emotion,rockin ipad 2 downtown apple sxsw store apple
682,#technews iPad 2 Gets Temporary Apple Store for SXSW {link} #Tech_News #Apple #Apple_Store #iPad_2 #SXSW #tech,,Positive emotion,technews ipad 2 get temporary apple store sxsw link technews apple applestore ipad2 sxsw tech
683,AWESOME!! ipad 2 jailbreak!! {link} Grateful Dead #fab5 #sxsw,iPad,Positive emotion,awesome ipad 2 jailbreak link grateful dead fab5 sxsw
684,Heard the iPad 2 launch at #sxsw was pretty intense.,,No emotion toward brand or product,heard ipad 2 launch sxsw pretty intense
685,New Post: iPad 2 Launches to Huge Lines at Apple Pop-Up Shop in Austin {link} #SXSW #SXSWi,iPad,Positive emotion,new post ipad 2 launch huge line apple popup shop austin link sxsw sxswi
686,"ÛÏ@mention iPad 2 Sold Out, 70% Went to New Buyers [REPORT] - {link} #sxsw #socialmedia #tech #ipad2 #mediaÛ",iPad,Positive emotion,mention ipad 2 sold 70 went new buyer report link sxsw socialmedia tech ipad2 medium
687,Remaining iPad 2 stock at #sxsw Apple store.. Come get one :-)  {link},iPad,Positive emotion,remaining ipad 2 stock sxsw apple store come get one link
688,I won the iPad accessories bag! Thanks @mention #SXSW,iPad,Positive emotion,ipad accessory bag thanks mention sxsw
689,The #sxsw iPad app is pure gold. @mention,iPad or iPhone App,Positive emotion,sxsw ipad app pure gold mention
690,"Check out iPad Design Headaches (2 Tablets, Call in the Morning) at SXSW.
{link} #SXSW #tapworthy",iPad,No emotion toward brand or product,check ipad design headache 2 tablet call morning sxsw link sxsw tapworthy
691,"First up: iPad Design Headaches (2 Tablets, Call in the Morning). #SXSW #tapworthy",iPad,No emotion toward brand or product,first ipad design headache 2 tablet call morning sxsw tapworthy
692,the first iPad didn't even exist here last year and I already feel like I'm pulling out an antique everytime I use my iPad #sxsw #ipad2,iPad,Negative emotion,first ipad even exist last year already feel like im pulling antique everytime use ipad sxsw ipad2
693,"Designing iPad Interfaces - New Navigation Schemas.
#SXSW #UXDes",,No emotion toward brand or product,designing ipad interface new navigation schema sxsw uxdes
694,Designing iPad interfaces with @mention #UXDes #SXSW  {link},,No emotion toward brand or product,designing ipad interface mention uxdes sxsw link
695,"Turn your iPad into a 'physical messaging platform' with Holler Gram, a cheeky app we built for #SXSW. {link}",iPad or iPhone App,Positive emotion,turn ipad physical messaging platform holler gram cheeky app built sxsw link
696,Spin Play iPad launch Party. Hanging with @mention and @mention #sxsw (@mention Cedar Street Courtyard) {link},,No emotion toward brand or product,spin play ipad launch party hanging mention mention sxsw mention cedar street courtyard link
697,"shoot, my ipad will not display any search results :( will have to go through questions later #osmpw #sxsw",iPad,Negative emotion,shoot ipad display search result go question later osmpw sxsw
698,Pic of my iPad-winning performance: {link} #sxsw #accordion #toodamnlucky,iPad,Positive emotion,pic ipadwinning performance link sxsw accordion toodamnlucky
699,I fear no iphone + #att 3gs slowpoke network during #sxsw &amp; #sxswmusic.,iPhone,Positive emotion,fear iphone att 3gs slowpoke network sxsw amp sxswmusic
700,The #SXSW iPhone app is mocking me. Like I have the money to be there - COME ON.,iPad or iPhone App,Negative emotion,sxsw iphone app mocking like money come
701,The #SXSW iPhone app is one of the worst I've had to use in a very long time.,iPad or iPhone App,Negative emotion,sxsw iphone app one worst ive use long time
702,Very cool iphone app just launched at #sxsw FlyPost: community bulletin board w/ location. Learn more: {link} {link},iPad or iPhone App,Positive emotion,cool iphone app launched sxsw flypost community bulletin board w location learn link link
703,Pedicab + iPhone charger would be epic win. #SXSW,Other Apple product or service,Positive emotion,pedicab iphone charger would epic win sxsw
704,"Check out iPhone Developer Meet Up at SXSW.
{link} #SXSW",iPhone,Positive emotion,check iphone developer meet sxsw link sxsw
705,Forgot my iPhone for #sxsw. Android only. Knife to a gun fight,,I can't tell,forgot iphone sxsw android knife gun fight
706,"&quot;the iPhone is a transient device used in short bursts; the iPad is an 'after 8pm, on the couch' device.&quot; @mention #sxsw",iPhone,Positive emotion,quotthe iphone transient device used short burst ipad 8pm couch devicequot mention sxsw
707,"Fret not, iPhone owners. Apple to open temporary store at #SXSW. {link} via @mention",,No emotion toward brand or product,fret iphone owner apple open temporary store sxsw link via mention
708,Disliking iPhone twitter auto shortening links for me. #sxsw,iPad or iPhone App,Negative emotion,disliking iphone twitter auto shortening link sxsw
709,@mention  iPhone. Clearly. Positively. Happily. #SXSW,iPhone,Positive emotion,mention iphone clearly positively happily sxsw
710,Clipboard is a carny #ipad #lowtech #sxsw,,No emotion toward brand or product,clipboard carny ipad lowtech sxsw
711,.@mention is competing with @mention circles on the SocialFlow board for most resonant topic here. #sxsw  {link},,No emotion toward brand or product,mention competing mention circle socialflow board resonant topic sxsw link
712,"Flipboard is developing an iPhone version, not Android, says @mention #sxsw",iPhone,Positive emotion,flipboard developing iphone version android say mention sxsw
713,Microsoft is going to launch IE9 at #SXSW. Amid all those glowing Apple logos. #classicaudiencemisread,,No emotion toward brand or product,microsoft going launch ie9 sxsw amid glowing apple logo classicaudiencemisread
714,my iPhone is overheating. why are there so many british sounding people in texas? #SXSW,iPhone,Negative emotion,iphone overheating many british sounding people texas sxsw
715,So {link} is part of my presentation at #SXSW so good thing it's crashing now instead of then. Works best on iPhone/Android,iPhone,Positive emotion,link part presentation sxsw good thing crashing instead work best iphoneandroid
716,#hashable is rocking @mention #SXSW the new &quot;cloud&quot; of Business Cards. No for #iPhone and #Android too,,No emotion toward brand or product,hashable rocking mention sxsw new quotcloudquot business card iphone android
717,.@mention is super-friendly w google and isn't closed to acquisition &amp; partnership. Answering very pointed ?s from @mention #sxsw,,No emotion toward brand or product,mention superfriendly w google closed acquisition amp partnership answering pointed mention sxsw
718,GameSalad is the topic of a Dutch podcast! {link} #gssxsw #sxsw #sxsw2011 #SXSWNL,,No emotion toward brand or product,gamesalad topic dutch podcast link gssxsw sxsw sxsw2011 sxswnl
719,Soo where is this Apple store at #SXSW ?,,No emotion toward brand or product,soo apple store sxsw
720,"my sister is throwing the Google sxsw party tonigh Come!! {link} Bands, food, art, ice cream, nifty interactive #sxsw",Google,Positive emotion,sister throwing google sxsw party tonigh come link band food art ice cream nifty interactive sxsw
721,ÛÏ@mention is walking around #SXSW while staring down at my iPhone 4... Just like everyone else.Û // ummmm...ditto that,iPhone,No emotion toward brand or product,mention walking around sxsw staring iphone 4 like everyone else ummmmditto
722,My iPhone is wilting under the stress of being at #sxsw.,iPhone,Negative emotion,iphone wilting stress sxsw
723,I believe it - I almost always use Google Maps on my iPhone RT @mention 40% of Google Maps use is Mobile says @mention #sxsw,Other Google product or service,Positive emotion,believe almost always use google map iphone rt mention 40 google map use mobile say mention sxsw
724,Of course it does! RT @mention #SXSW Gets Its Own Apple Store {link} #geeksrule,Apple,Positive emotion,course rt mention sxsw get apple store link geeksrule
725,Rumor has it that apple putting up pop-up store at congress/6th.  Strange activity on SW corner now.  Could that be it?  Shhh... #sxsw,,No emotion toward brand or product,rumor apple putting popup store congress6th strange activity sw corner could shhh sxsw
